country,population,area_km2,region,subregion,num_languages,num_borders,population_density
Réunion,896175,2511.0,Africa,Eastern Africa,1,0,356.9
Botswana,2359609,582000.0,Africa,Southern Africa,2,4,4.05
Afghanistan,43844000,652230.0,Asia,Southern Asia,3,6,67.22
Serbia,6567783,77589.0,Europe,Southeast Europe,1,8,84.65
Czechia,10882341,78865.0,Europe,Central Europe,2,4,137.99
Dominica,67408,751.0,Americas,Caribbean,1,0,89.76
Poland,37392000,312679.0,Europe,Central Europe,1,7,119.59
Benin,13224860,112622.0,Africa,Western Africa,1,4,117.43
Moldova,2749076,33847.0,Europe,Eastern Europe,1,2,81.22
Russia,146028325,17098246.0,Europe,Eastern Europe,1,14,8.54
Saint Barthélemy,10562,21.0,Americas,Caribbean,1,0,502.95
Indonesia,284438782,1904569.0,Asia,South-Eastern Asia,1,3,149.35
Nicaragua,6803886,130373.0,Americas,Central America,1,2,52.19
Armenia,3076200,29743.0,Asia,Western Asia,1,4,103.43
Belarus,9109280,207600.0,Europe,Eastern Europe,2,5,43.88
Ethiopia,111652998,1104300.0,Africa,Eastern Africa,1,6,101.11
Costa Rica,5309625,51100.0,Americas,Central America,1,2,103.91
Jordan,11734000,89342.0,Asia,Western Asia,1,5,131.34
Germany,83491249,357114.0,Europe,Western Europe,1,9,233.79
Ecuador,18103660,276841.0,Americas,South America,1,2,65.39
North Korea,25950000,120538.0,Asia,Eastern Asia,1,3,215.28
Iceland,391810,103000.0,Europe,Northern Europe,1,0,3.8
South Sudan,15786898,619745.0,Africa,Middle Africa,1,6,25.47
Malawi,20734262,118484.0,Africa,Eastern Africa,2,3,175.0
Burkina Faso,24070553,272967.0,Africa,Western Africa,1,6,88.18
DR Congo,112832000,2344858.0,Africa,Middle Africa,5,9,48.12
Venezuela,28517000,916445.0,Americas,South America,1,3,31.12
Brunei,455500,5765.0,Asia,South-Eastern Asia,1,1,79.01
Paraguay,6109644,406752.0,Americas,South America,2,3,15.02
Bulgaria,6437360,110879.0,Europe,Southeast Europe,1,5,58.06
